Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;Ano;Mês;Ordem mês;Chegadas
Ásia;5;China;43;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;5
Ásia;5;Índia;113;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;2
Ásia;5;Israel;119;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;5
Ásia;5;Japão;122;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;7
Ásia;5;República da Coreia;184;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;2
Ásia;5;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;10
Europa;6;Alemanha;4;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;32
Europa;6;Áustria;15;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;4
Europa;6;Bélgica;21;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;1
Europa;6;Dinamarca;57;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;1
Europa;6;Espanha;67;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;15
Europa;6;Finlândia;73;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;0
Europa;6;França;74;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;20
Europa;6;Grécia;81;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;0
Europa;6;Holanda;92;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;19
Europa;6;Hungria;94;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;1
Europa;6;Reino Unido;182;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;26
Europa;6;Irlanda;117;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;4
Europa;6;Itália;120;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;11
Europa;6;Noruega;164;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;2
Europa;6;Polônia;177;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;5
Europa;6;Portugal;179;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;6
Europa;6;República Tcheca;187;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;1
Europa;6;Rússia;190;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;3
Europa;6;Suécia;215;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;2
Europa;6;Suíça;216;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;7
Europa;6;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;5
Oceania;7;Austrália;14;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;18
Oceania;7;Nova Zelândia;166;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;3
Oceania;7;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;1
Continente não especificado;8;Países não especificados;999;Mato Grosso do Sul;12;Terrestre;2;2013;novembro;11;0
África;1;África do Sul;2;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;2
África;1;Angola;6;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
África;1;Cabo Verde;35;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
África;1;Nigéria;162;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
África;1;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;3
América Central e Caribe;2;Costa Rica;53;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;1
América Central e Caribe;2;Cuba;55;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;1
América Central e Caribe;2;Guatemala;84;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
América Central e Caribe;2;Panamá;170;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
América Central e Caribe;2;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;2
América do Norte;3;Canadá;38;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;3
América do Norte;3;Estados Unidos;68;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;2
América do Norte;3;México;148;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;21
América do Sul;4;Argentina;11;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;60
América do Sul;4;Bolívia;26;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;2496
América do Sul;4;Chile;42;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;23
América do Sul;4;Colômbia;48;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;23
América do Sul;4;Equador;63;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;11
América do Sul;4;Guiana Francesa;87;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
América do Sul;4;Paraguai;173;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;2995
América do Sul;4;Peru;174;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;145
América do Sul;4;Guiana;86;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
América do Sul;4;Suriname;217;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
América do Sul;4;Uruguai;234;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;5
América do Sul;4;Venezuela;238;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;5
Ásia;5;China;43;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
Ásia;5;Índia;113;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
Ásia;5;Israel;119;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;4
Ásia;5;Japão;122;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;10
Ásia;5;República da Coreia;184;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;11
Ásia;5;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;9
Europa;6;Alemanha;4;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;30
Europa;6;Áustria;15;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;5
Europa;6;Bélgica;21;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;5
Europa;6;Dinamarca;57;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;6
Europa;6;Espanha;67;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;22
Europa;6;Finlândia;73;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;1
Europa;6;França;74;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;28
Europa;6;Grécia;81;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
Europa;6;Holanda;92;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;20
Europa;6;Hungria;94;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
Europa;6;Reino Unido;182;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;28
Europa;6;Irlanda;117;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;1
Europa;6;Itália;120;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;16
Europa;6;Noruega;164;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;13
Europa;6;Polônia;177;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;3
Europa;6;Portugal;179;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;6
Europa;6;República Tcheca;187;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;1
Europa;6;Rússia;190;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;2
Europa;6;Suécia;215;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;6
Europa;6;Suíça;216;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;8
Europa;6;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;7
Oceania;7;Austrália;14;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;19
Oceania;7;Nova Zelândia;166;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;5
Oceania;7;Outros países;998;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
Continente não especificado;8;Países não especificados;999;Mato Grosso do Sul;12;Terrestre;2;2013;dezembro;12;0
África;1;Outros países;998;Paraná;16;Terrestre;2;2013;janeiro;1;18
América Central e Caribe;2;Costa Rica;53;Paraná;16;Terrestre;2;2013;janeiro;1;336
América Central e Caribe;2;Cuba;55;Paraná;16;Terrestre;2;2013;janeiro;1;18
América Central e Caribe;2;Guatemala;84;Paraná;16;Terrestre;2;2013;janeiro;1;12
América Central e Caribe;2;Panamá;170;Paraná;16;Terrestre;2;2013;janeiro;1;16
América Central e Caribe;2;Outros países;998;Paraná;16;Terrestre;2;2013;janeiro;1;36
América do Norte;3;Canadá;38;Paraná;16;Terrestre;2;2013;janeiro;1;515
América do Norte;3;Estados Unidos;68;Paraná;16;Terrestre;2;2013;janeiro;1;2274
América do Norte;3;México;148;Paraná;16;Terrestre;2;2013;janeiro;1;148
América do Sul;4;Argentina;11;Paraná;16;Terrestre;2;2013;janeiro;1;49739
América do Sul;4;Bolívia;26;Paraná;16;Terrestre;2;2013;janeiro;1;587
América do Sul;4;Chile;42;Paraná;16;Terrestre;2;2013;janeiro;1;3033
América do Sul;4;Colômbia;48;Paraná;16;Terrestre;2;2013;janeiro;1;2208
América do Sul;4;Equador;63;Paraná;16;Terrestre;2;2013;janeiro;1;73
América do Sul;4;Guiana Francesa;87;Paraná;16;Terrestre;2;2013;janeiro;1;0
América do Sul;4;Paraguai;173;Paraná;16;Terrestre;2;2013;janeiro;1;58750
América do Sul;4;Peru;174;Paraná;16;Terrestre;2;2013;janeiro;1;653
América do Sul;4;Guiana;86;Paraná;16;Terrestre;2;2013;janeiro;1;2
América do Sul;4;Suriname;217;Paraná;16;Terrestre;2;2013;janeiro;1;0
América do Sul;4;Uruguai;234;Paraná;16;Terrestre;2;2013;janeiro;1;616
América do Sul;4;Venezuela;238;Paraná;16;Terrestre;2;2013;janeiro;1;186
Ásia;5;China;43;Paraná;16;Terrestre;2;2013;janeiro;1;137
Ásia;5;Índia;113;Paraná;16;Terrestre;2;2013;janeiro;1;40
Ásia;5;Israel;119;Paraná;16;Terrestre;2;2013;janeiro;1;1863
Ásia;5;Japão;122;Paraná;16;Terrestre;2;2013;janeiro;1;1436
Ásia;5;República da Coreia;184;Paraná;16;Terrestre;2;2013;janeiro;1;1388
Ásia;5;Outros países;998;Paraná;16;Terrestre;2;2013;janeiro;1;185
Europa;6;Alemanha;4;Paraná;16;Terrestre;2;2013;janeiro;1;2129
Europa;6;Áustria;15;Paraná;16;Terrestre;2;2013;janeiro;1;291
Europa;6;Bélgica;21;Paraná;16;Terrestre;2;2013;janeiro;1;195
Europa;6;Dinamarca;57;Paraná;16;Terrestre;2;2013;janeiro;1;466
Europa;6;Espanha;67;Paraná;16;Terrestre;2;2013;janeiro;1;904
Europa;6;Finlândia;73;Paraná;16;Terrestre;2;2013;janeiro;1;104
Europa;6;França;74;Paraná;16;Terrestre;2;2013;janeiro;1;1217
Europa;6;Grécia;81;Paraná;16;Terrestre;2;2013;janeiro;1;55
Europa;6;Holanda;92;Paraná;16;Terrestre;2;2013;janeiro;1;558
Europa;6;Hungria;94;Paraná;16;Terrestre;2;2013;janeiro;1;79
Europa;6;Reino Unido;182;Paraná;16;Terrestre;2;2013;janeiro;1;1658
Europa;6;Irlanda;117;Paraná;16;Terrestre;2;2013;janeiro;1;242
Europa;6;Itália;120;Paraná;16;Terrestre;2;2013;janeiro;1;1558
Europa;6;Noruega;164;Paraná;16;Terrestre;2;2013;janeiro;1;147
Europa;6;Polônia;177;Paraná;16;Terrestre;2;2013;janeiro;1;240
Europa;6;Portugal;179;Paraná;16;Terrestre;2;2013;janeiro;1;165
Europa;6;República Tcheca;187;Paraná;16;Terrestre;2;2013;janeiro;1;91
Europa;6;Rússia;190;Paraná;16;Terrestre;2;2013;janeiro;1;682
Europa;6;Suécia;215;Paraná;16;Terrestre;2;2013;janeiro;1;661
Europa;6;Suíça;216;Paraná;16;Terrestre;2;2013;janeiro;1;886
Europa;6;Outros países;998;Paraná;16;Terrestre;2;2013;janeiro;1;524
Oceania;7;Austrália;14;Paraná;16;Terrestre;2;2013;janeiro;1;1387
Oceania;7;Nova Zelândia;166;Paraná;16;Terrestre;2;2013;janeiro;1;196
Oceania;7;Outros países;998;Paraná;16;Terrestre;2;2013;janeiro;1;4
Continente não especificado;8;Países não especificados;999;Paraná;16;Terrestre;2;2013;janeiro;1;1
África;1;África do Sul;2;Paraná;16;Terrestre;2;2013;fevereiro;2;88
África;1;Angola;6;Paraná;16;Terrestre;2;2013;fevereiro;2;13
África;1;Cabo Verde;35;Paraná;16;Terrestre;2;2013;fevereiro;2;0
África;1;Nigéria;162;Paraná;16;Terrestre;2;2013;fevereiro;2;0
África;1;Outros países;998;Paraná;16;Terrestre;2;2013;fevereiro;2;28
América Central e Caribe;2;Costa Rica;53;Paraná;16;Terrestre;2;2013;fevereiro;2;49
América Central e Caribe;2;Cuba;55;Paraná;16;Terrestre;2;2013;fevereiro;2;8
América Central e Caribe;2;Guatemala;84;Paraná;16;Terrestre;2;2013;fevereiro;2;9
América Central e Caribe;2;Panamá;170;Paraná;16;Terrestre;2;2013;fevereiro;2;35
América Central e Caribe;2;Outros países;998;Paraná;16;Terrestre;2;2013;fevereiro;2;17
América do Norte;3;Canadá;38;Paraná;16;Terrestre;2;2013;fevereiro;2;694
América do Norte;3;Estados Unidos;68;Paraná;16;Terrestre;2;2013;fevereiro;2;2055
América do Norte;3;México;148;Paraná;16;Terrestre;2;2013;fevereiro;2;110
América do Sul;4;Argentina;11;Paraná;16;Terrestre;2;2013;fevereiro;2;24145
América do Sul;4;Bolívia;26;Paraná;16;Terrestre;2;2013;fevereiro;2;311
América do Sul;4;Chile;42;Paraná;16;Terrestre;2;2013;fevereiro;2;2050
América do Sul;4;Colômbia;48;Paraná;16;Terrestre;2;2013;fevereiro;2;505
América do Sul;4;Equador;63;Paraná;16;Terrestre;2;2013;fevereiro;2;127
América do Sul;4;Guiana Francesa;87;Paraná;16;Terrestre;2;2013;fevereiro;2;0
América do Sul;4;Paraguai;173;Paraná;16;Terrestre;2;2013;fevereiro;2;21749
América do Sul;4;Peru;174;Paraná;16;Terrestre;2;2013;fevereiro;2;713
América do Sul;4;Guiana;86;Paraná;16;Terrestre;2;2013;fevereiro;2;0
América do Sul;4;Suriname;217;Paraná;16;Terrestre;2;2013;fevereiro;2;0
América do Sul;4;Uruguai;234;Paraná;16;Terrestre;2;2013;fevereiro;2;395
América do Sul;4;Venezuela;238;Paraná;16;Terrestre;2;2013;fevereiro;2;95
Ásia;5;China;43;Paraná;16;Terrestre;2;2013;fevereiro;2;241
Ásia;5;Índia;113;Paraná;16;Terrestre;2;2013;fevereiro;2;44
Ásia;5;Israel;119;Paraná;16;Terrestre;2;2013;fevereiro;2;2754
Ásia;5;Japão;122;Paraná;16;Terrestre;2;2013;fevereiro;2;2461
Ásia;5;República da Coreia;184;Paraná;16;Terrestre;2;2013;fevereiro;2;765
Ásia;5;Outros países;998;Paraná;16;Terrestre;2;2013;fevereiro;2;770
