"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"196","Continente não especificado",2005-04-01,0,0,1,0,215,0.226973684210526
"197","Continente não especificado",2005-05-01,0,0,1,0,170,-0.308219178082192
"198","Continente não especificado",2005-06-01,0,0,0,1,319,0.693023255813954
"199","Continente não especificado",2005-07-01,0,0,0,1,260,-0.347058823529412
"200","Continente não especificado",2005-08-01,0,0,0,1,235,-0.0783699059561129
"201","Continente não especificado",2005-09-01,0,1,0,0,153,-0.315384615384615
"202","Continente não especificado",2005-10-01,0,1,0,0,254,0.429787234042553
"203","Continente não especificado",2005-11-01,0,1,0,0,198,-0.366013071895425
"204","Continente não especificado",2005-12-01,1,0,0,0,217,0.0748031496062992
"205","Continente não especificado",2006-01-01,1,0,0,0,63,-0.777777777777778
"206","Continente não especificado",2006-02-01,1,0,0,0,153,0.414746543778802
"207","Continente não especificado",2006-03-01,0,0,1,0,141,-0.19047619047619
"208","Continente não especificado",2006-04-01,0,0,1,0,172,0.202614379084967
"209","Continente não especificado",2006-05-01,0,0,1,0,111,-0.432624113475177
"210","Continente não especificado",2006-06-01,0,0,0,1,87,-0.13953488372093
"211","Continente não especificado",2006-07-01,0,0,0,1,162,0.675675675675676
"212","Continente não especificado",2006-08-01,0,0,0,1,75,-1
"213","Continente não especificado",2006-09-01,0,1,0,0,36,-0.240740740740741
"214","Continente não especificado",2006-10-01,0,1,0,0,89,0.706666666666667
"215","Continente não especificado",2006-11-01,0,1,0,0,74,-0.416666666666667
"216","Continente não especificado",2006-12-01,1,0,0,0,129,0.617977528089888
"217","Continente não especificado",2007-01-01,1,0,0,0,148,0.256756756756757
"218","Continente não especificado",2007-02-01,1,0,0,0,183,0.271317829457364
"219","Continente não especificado",2007-03-01,0,0,1,0,69,-0.77027027027027
"220","Continente não especificado",2007-04-01,0,0,1,0,106,0.202185792349727
"221","Continente não especificado",2007-05-01,0,0,1,0,124,0.260869565217391
"222","Continente não especificado",2007-06-01,0,0,0,1,85,-0.367924528301887
"223","Continente não especificado",2007-07-01,0,0,0,1,210,1.00806451612903
"224","Continente não especificado",2007-08-01,0,0,0,1,152,-0.682352941176471
"225","Continente não especificado",2007-09-01,0,1,0,0,148,-0.019047619047619
"226","Continente não especificado",2007-10-01,0,1,0,0,41,-0.703947368421053
"227","Continente não especificado",2007-11-01,0,1,0,0,77,0.243243243243243
"228","Continente não especificado",2007-12-01,1,0,0,0,30,-1.14634146341463
"229","Continente não especificado",2008-01-01,1,0,0,0,77,0.61038961038961
"230","Continente não especificado",2008-02-01,1,0,0,0,38,-1.3
